Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_294,VGND,li1,140.9900,141.4400,0.000009
FILLER_48_291,VGND,li1,140.0700,141.4400,0.000009
FILLER_48_288,VGND,li1,138.6900,141.4400,0.000009
FILLER_48_285,VGND,li1,137.3100,141.4400,0.000009
FILLER_48_282,VGND,li1,135.9300,141.4400,0.000009
FILLER_48_279,VGND,li1,134.5500,141.4400,0.000009
FILLER_48_270,VGND,li1,129.9500,141.4400,0.000008
FILLER_48_267,VGND,li1,129.0300,141.4400,0.000008
FILLER_48_264,VGND,li1,127.6500,141.4400,0.000008
FILLER_48_253,VGND,li1,122.5900,141.4400,0.000007
FILLER_48_234,VGND,li1,113.8500,141.4400,0.000006
FILLER_48_203,VGND,li1,99.3600,141.4400,0.000004
FILLER_48_197,VGND,li1,96.3700,141.4400,0.000005
FILLER_48_193,VGND,li1,94.9900,141.4400,0.000005
FILLER_48_182,VGND,li1,89.9300,141.4400,0.000006
FILLER_48_179,VGND,li1,88.5500,141.4400,0.000006
FILLER_48_176,VGND,li1,87.1700,141.4400,0.000006
FILLER_48_147,VGND,li1,73.8300,141.4400,0.000006
FILLER_48_144,VGND,li1,72.4500,141.4400,0.000006
FILLER_48_141,VGND,li1,71.0700,141.4400,0.000006
FILLER_48_139,VGND,li1,69.6900,141.4400,0.000006
FILLER_48_120,VGND,li1,60.9500,141.4400,0.000006
FILLER_48_117,VGND,li1,60.0300,141.4400,0.000006
FILLER_48_114,VGND,li1,58.6500,141.4400,0.000006
FILLER_48_111,VGND,li1,57.2700,141.4400,0.000006
FILLER_48_108,VGND,li1,55.8900,141.4400,0.000006
FILLER_48_105,VGND,li1,54.5100,141.4400,0.000006
FILLER_48_102,VGND,li1,53.1300,141.4400,0.000006
FILLER_48_85,VGND,li1,45.3100,141.4400,0.000005
FILLER_48_83,VGND,li1,43.9300,141.4400,0.000005
FILLER_48_80,VGND,li1,43.0100,141.4400,0.000005
FILLER_48_77,VGND,li1,41.6300,141.4400,0.000005
FILLER_48_74,VGND,li1,40.2500,141.4400,0.000005
FILLER_48_71,VGND,li1,38.8700,141.4400,0.000005
FILLER_48_47,VGND,li1,27.8300,141.4400,0.000004
FILLER_48_44,VGND,li1,26.4500,141.4400,0.000004
FILLER_48_41,VGND,li1,25.0700,141.4400,0.000004
FILLER_48_38,VGND,li1,23.6900,141.4400,0.000003
FILLER_48_35,VGND,li1,22.3100,141.4400,0.000003
FILLER_48_32,VGND,li1,20.9300,141.4400,0.000003
FILLER_48_29,VGND,li1,19.5500,141.4400,0.000003
FILLER_48_9,VGND,li1,10.1200,141.4400,0.000002
FILLER_48_6,VGND,li1,8.9700,141.4400,0.000002
FILLER_48_3,VGND,li1,7.5900,141.4400,0.000002
FILLER_47_319,VGND,li1,152.4900,141.4400,0.000010
FILLER_47_316,VGND,li1,151.5700,141.4400,0.000010
